order_details_id,order_id,pizza_id,quantity
10001,6001,pizza_pepperoni_l,1
10002,6001,pizza_meat_lovers_xl,2
10003,6001,pizza_mushroom_s,3
10004,6002,pizza_mushroom_xl,1
10005,6003,pizza_hawaiian_xl,3
10006,6004,pizza_mushroom_xl,2
10007,6004,pizza_margherita_xl,3
10008,6004,pizza_mushroom_m,1
10009,6004,pizza_supreme_m,3
10010,6004,pizza_meat_lovers_m,2
10011,6005,pizza_margherita_s,2
10012,6006,pizza_bbq_chicken_l,2
10013,6006,pizza_spinach_feta_s,1
10014,6006,pizza_meat_lovers_xl,2
10015,6006,pizza_meat_lovers_l,3
10016,6006,pizza_supreme_l,2
10017,6007,pizza_bbq_chicken_l,3
10018,6007,pizza_margherita_s,1
10019,6008,pizza_bbq_chicken_l,1
10020,6008,pizza_pepperoni_s,3
10021,6008,pizza_bbq_chicken_xl,2
10022,6009,pizza_meat_lovers_l,2
10023,6009,pizza_mushroom_xl,2
10024,6009,pizza_bbq_chicken_m,1
10025,6010,pizza_mushroom_s,1
10026,6010,pizza_spinach_feta_s,3
10027,6010,pizza_supreme_s,1
10028,6011,pizza_margherita_s,1
10029,6011,pizza_supreme_xl,2
10030,6012,pizza_spinach_feta_xl,3
10031,6012,pizza_pepperoni_s,3
10032,6012,pizza_spinach_feta_m,3
10033,6012,pizza_spinach_feta_s,1
10034,6012,pizza_supreme_m,2
10035,6013,pizza_meat_lovers_l,2
10036,6013,pizza_hawaiian_s,2
10037,6013,pizza_mushroom_s,3
10038,6013,pizza_spinach_feta_l,1
10039,6014,pizza_supreme_xl,1
10040,6014,pizza_bbq_chicken_l,2
10041,6014,pizza_meat_lovers_xl,2
10042,6015,pizza_supreme_xl,2
10043,6016,pizza_mushroom_s,2
10044,6016,pizza_meat_lovers_xl,2
10045,6017,pizza_meat_lovers_l,1
10046,6017,pizza_supreme_l,2
10047,6017,pizza_hawaiian_l,3
10048,6017,pizza_bbq_chicken_s,1
10049,6017,pizza_bbq_chicken_s,3
10050,6018,pizza_buffalo_chicken_l,3
10051,6018,pizza_veggie_s,2
10052,6018,pizza_meat_lovers_s,2
10053,6019,pizza_pepperoni_l,3
10054,6019,pizza_pepperoni_m,1
10055,6019,pizza_buffalo_chicken_xl,3
10056,6020,pizza_margherita_s,2
10057,6020,pizza_mushroom_xl,2
10058,6020,pizza_hawaiian_m,2
10059,6021,pizza_margherita_s,2
10060,6021,pizza_buffalo_chicken_l,2
10061,6021,pizza_hawaiian_l,3
10062,6021,pizza_meat_lovers_xl,3
10063,6021,pizza_meat_lovers_s,3
10064,6022,pizza_margherita_xl,1
10065,6022,pizza_hawaiian_m,3
10066,6022,pizza_spinach_feta_m,1
10067,6022,pizza_pepperoni_l,3
10068,6022,pizza_supreme_s,3
10069,6023,pizza_buffalo_chicken_m,3
10070,6023,pizza_spinach_feta_m,1
10071,6023,pizza_veggie_l,2
10072,6023,pizza_bbq_chicken_xl,1
10073,6024,pizza_bbq_chicken_l,3
10074,6024,pizza_mushroom_m,1
10075,6024,pizza_bbq_chicken_m,3
10076,6025,pizza_pepperoni_m,2
10077,6025,pizza_veggie_l,3
10078,6025,pizza_spinach_feta_m,1
10079,6026,pizza_meat_lovers_l,2
10080,6026,pizza_spinach_feta_s,3
10081,6026,pizza_supreme_xl,3
10082,6026,pizza_veggie_l,1
10083,6026,pizza_buffalo_chicken_s,1
10084,6027,pizza_mushroom_m,3
10085,6028,pizza_mushroom_xl,2
10086,6028,pizza_buffalo_chicken_s,1
10087,6028,pizza_spinach_feta_s,3
10088,6028,pizza_veggie_l,1
10089,6028,pizza_veggie_l,3
10090,6029,pizza_veggie_s,2
10091,6029,pizza_spinach_feta_l,2
10092,6029,pizza_buffalo_chicken_l,2
10093,6029,pizza_bbq_chicken_l,2
10094,6030,pizza_hawaiian_l,2
10095,6030,pizza_supreme_xl,2
10096,6030,pizza_pepperoni_l,2
10097,6030,pizza_hawaiian_m,1
10098,6031,pizza_mushroom_s,3
10099,6032,pizza_bbq_chicken_s,1
10100,6032,pizza_mushroom_xl,1
10101,6033,pizza_margherita_l,3
10102,6034,pizza_meat_lovers_s,2
10103,6034,pizza_veggie_l,1
10104,6035,pizza_spinach_feta_l,3
10105,6035,pizza_margherita_l,1
10106,6035,pizza_bbq_chicken_xl,2
10107,6035,pizza_hawaiian_xl,2
10108,6036,pizza_veggie_s,2
10109,6036,pizza_mushroom_l,1
10110,6036,pizza_buffalo_chicken_l,1
10111,6036,pizza_spinach_feta_m,3
10112,6036,pizza_bbq_chicken_l,3
10113,6037,pizza_spinach_feta_s,1
10114,6037,pizza_bbq_chicken_s,1
10115,6038,pizza_mushroom_s,1
10116,6038,pizza_buffalo_chicken_l,2
10117,6038,pizza_veggie_l,2
10118,6038,pizza_buffalo_chicken_xl,2
10119,6038,pizza_buffalo_chicken_xl,2
10120,6039,pizza_mushroom_xl,1
10121,6040,pizza_bbq_chicken_s,3
10122,6040,pizza_supreme_xl,2
10123,6041,pizza_mushroom_s,3
10124,6041,pizza_margherita_l,2
10125,6042,pizza_supreme_s,2
10126,6042,pizza_bbq_chicken_l,3
10127,6042,pizza_pepperoni_m,3
10128,6042,pizza_veggie_xl,2
10129,6042,pizza_pepperoni_s,1
10130,6043,pizza_mushroom_xl,2
10131,6043,pizza_meat_lovers_s,1
10132,6044,pizza_meat_lovers_l,2
10133,6045,pizza_bbq_chicken_xl,2
10134,6045,pizza_bbq_chicken_xl,2
10135,6045,pizza_meat_lovers_m,1
10136,6046,pizza_mushroom_m,2
10137,6046,pizza_bbq_chicken_m,1
10138,6046,pizza_margherita_xl,2
10139,6046,pizza_mushroom_l,2
10140,6046,pizza_pepperoni_l,1
10141,6047,pizza_supreme_xl,2
10142,6048,pizza_veggie_xl,1
10143,6048,pizza_margherita_l,2
10144,6048,pizza_pepperoni_m,2
10145,6048,pizza_buffalo_chicken_xl,2
10146,6049,pizza_hawaiian_s,1
10147,6050,pizza_mushroom_xl,1
10148,6050,pizza_veggie_xl,2
10149,6050,pizza_margherita_m,1
10150,6050,pizza_hawaiian_m,3
10151,6050,pizza_bbq_chicken_xl,3
10152,6051,pizza_mushroom_s,2
10153,6051,pizza_spinach_feta_s,1
10154,6052,pizza_pepperoni_s,1
10155,6053,pizza_bbq_chicken_s,1
10156,6053,pizza_pepperoni_xl,1
10157,6054,pizza_meat_lovers_s,2
10158,6054,pizza_spinach_feta_m,3
10159,6054,pizza_margherita_m,3
10160,6054,pizza_margherita_l,2
10161,6054,pizza_meat_lovers_s,1
10162,6055,pizza_buffalo_chicken_s,1
10163,6055,pizza_mushroom_s,3
10164,6055,pizza_veggie_l,2
10165,6055,pizza_veggie_m,2
10166,6055,pizza_bbq_chicken_s,1
10167,6056,pizza_meat_lovers_m,1
10168,6056,pizza_bbq_chicken_l,2
10169,6057,pizza_hawaiian_xl,1
10170,6057,pizza_spinach_feta_l,3
10171,6057,pizza_margherita_s,3
10172,6057,pizza_buffalo_chicken_xl,1
10173,6058,pizza_pepperoni_m,1
10174,6059,pizza_pepperoni_xl,2
10175,6060,pizza_supreme_xl,3
10176,6060,pizza_spinach_feta_m,2
10177,6060,pizza_meat_lovers_xl,2
10178,6061,pizza_hawaiian_xl,2
10179,6061,pizza_spinach_feta_xl,1
10180,6061,pizza_veggie_xl,1
10181,6061,pizza_supreme_l,3
10182,6061,pizza_buffalo_chicken_l,2
10183,6062,pizza_hawaiian_s,3
10184,6062,pizza_mushroom_s,1
10185,6062,pizza_buffalo_chicken_xl,1
10186,6063,pizza_margherita_s,1
10187,6063,pizza_meat_lovers_xl,1
10188,6064,pizza_meat_lovers_l,2
10189,6064,pizza_bbq_chicken_s,3
10190,6064,pizza_hawaiian_m,2
10191,6064,pizza_veggie_xl,3
10192,6064,pizza_hawaiian_xl,2
10193,6065,pizza_hawaiian_m,3
10194,6066,pizza_spinach_feta_m,3
10195,6066,pizza_veggie_s,1
10196,6066,pizza_margherita_l,1
10197,6066,pizza_mushroom_l,1
10198,6067,pizza_pepperoni_xl,3
10199,6067,pizza_supreme_l,3
10200,6067,pizza_spinach_feta_xl,1
10201,6068,pizza_margherita_s,1
10202,6068,pizza_mushroom_l,3
10203,6068,pizza_buffalo_chicken_l,1
10204,6068,pizza_margherita_m,1
10205,6069,pizza_veggie_xl,1
10206,6069,pizza_bbq_chicken_s,1
10207,6069,pizza_margherita_xl,3
10208,6070,pizza_margherita_xl,3
10209,6070,pizza_veggie_s,1
10210,6070,pizza_veggie_s,1
10211,6070,pizza_bbq_chicken_m,1
10212,6070,pizza_veggie_s,2
10213,6071,pizza_buffalo_chicken_l,2
10214,6071,pizza_meat_lovers_xl,1
10215,6071,pizza_spinach_feta_xl,3
10216,6072,pizza_buffalo_chicken_xl,3
10217,6072,pizza_veggie_m,2
