order_id,order_date,order_time
1,2023-02-09,02:04:41
2,2023-02-27,13:07:07
3,2023-04-13,22:41:31
4,2023-08-18,22:57:52
5,2023-09-19,17:36:31
6,2023-01-30,00:51:47
7,2023-01-23,20:20:46
8,2023-06-08,21:44:33
9,2023-01-09,19:29:55
10,2023-10-28,16:53:57
11,2023-05-03,00:19:58
12,2023-09-04,02:16:39
13,2023-01-22,21:17:32
14,2023-07-21,13:36:20
15,2023-01-22,00:27:34
16,2023-05-02,01:33:40
17,2023-03-12,14:21:12
18,2023-12-13,23:46:48
19,2023-03-08,12:28:02
20,2023-04-14,22:47:18
21,2023-02-12,05:13:02
22,2023-12-22,08:38:40
23,2023-06-27,02:53:49
24,2023-11-24,23:46:44
25,2023-11-18,07:06:52
26,2023-09-14,19:54:43
27,2023-11-06,10:10:54
28,2023-02-26,07:52:47
29,2023-10-16,22:57:00
30,2023-07-21,08:17:54
31,2023-12-14,08:40:04
32,2023-06-11,20:56:55
33,2023-12-24,13:52:05
34,2023-03-27,02:00:07
35,2023-05-13,08:58:34
36,2023-05-29,18:54:55
37,2023-08-07,16:39:16
38,2023-07-16,16:11:46
39,2023-05-04,07:22:46
40,2023-06-23,18:00:15
41,2023-02-25,12:37:06
42,2023-02-17,01:10:03
43,2023-08-26,21:22:42
44,2023-12-20,13:00:43
45,2023-10-08,23:06:52
46,2023-01-07,00:06:56
47,2023-10-22,19:05:31
48,2023-11-28,23:30:01
49,2023-01-29,23:31:31
50,2023-06-13,20:02:22
51,2023-08-12,18:44:45
52,2023-11-13,04:05:12
53,2023-09-09,07:50:35
54,2023-04-04,08:26:36
55,2023-10-16,00:11:21
56,2023-03-14,20:59:00
57,2023-05-16,03:41:23
58,2023-03-09,01:03:44
59,2023-02-20,11:36:10
60,2023-09-30,15:27:21
61,2023-10-27,15:57:21
62,2023-01-31,07:47:56
63,2023-11-01,03:09:12
64,2023-02-20,01:29:21
65,2023-05-05,11:42:20
66,2023-10-17,18:24:45
67,2023-04-02,16:48:35
68,2023-02-07,15:37:50
69,2023-01-21,03:26:41
70,2023-12-26,07:20:40
71,2023-09-03,09:20:46
72,2023-12-12,06:29:19
73,2023-02-26,03:28:56
74,2023-11-19,16:15:01
75,2023-12-29,07:35:49
76,2023-03-29,09:10:51
77,2023-08-22,13:59:24
78,2023-09-12,04:54:21
79,2023-04-28,19:13:33
80,2023-09-24,01:58:42
81,2023-10-22,10:30:06
82,2023-06-24,17:35:23
83,2023-06-14,06:20:23
84,2023-10-18,17:50:50
85,2023-12-21,05:59:41
86,2023-06-15,09:08:03
87,2023-02-03,11:59:50
88,2023-11-16,15:48:23
89,2023-03-08,08:23:26
90,2023-01-09,04:29:04
91,2023-02-01,15:45:54
92,2023-09-13,07:22:33
93,2023-03-03,13:03:15
94,2023-11-16,03:03:58
95,2023-08-20,14:10:17
96,2023-01-03,19:19:33
97,2023-10-27,08:17:28
98,2023-01-09,23:01:55
99,2023-04-01,20:36:58
100,2023-05-31,18:40:56
101,2023-03-12,10:53:11
102,2023-11-22,00:12:04
103,2023-09-01,01:48:09
104,2023-08-07,23:08:29
105,2023-08-17,02:02:35
106,2023-01-26,18:10:56
107,2023-08-30,18:27:20
108,2023-02-18,17:38:11
109,2023-01-02,22:42:26
110,2023-12-13,05:06:08
111,2023-02-05,13:00:34
112,2023-06-21,08:24:22
113,2023-08-06,10:50:34
114,2023-12-16,22:15:00
115,2023-11-12,19:15:25
116,2023-09-04,06:38:50
117,2023-11-03,11:59:10
118,2023-12-19,19:58:10
119,2023-06-01,01:19:06
120,2023-09-09,13:52:06
121,2023-10-15,18:09:48
122,2023-02-11,02:08:40
123,2023-03-09,07:25:26
124,2023-09-09,12:42:04
125,2023-08-10,15:00:43
126,2023-07-11,23:28:49
127,2023-01-23,10:20:01
128,2023-09-24,20:25:43
129,2023-01-21,13:41:11
130,2023-10-09,04:25:15
131,2023-12-14,17:41:11
132,2023-05-24,00:35:55
133,2023-12-16,14:22:43
134,2023-03-07,09:31:06
135,2023-09-22,03:05:19
136,2023-01-24,13:10:34
137,2023-07-07,03:39:08
138,2023-09-06,10:01:03
139,2023-04-24,20:54:33
140,2023-02-01,19:36:49
141,2023-07-25,04:03:08
142,2023-12-12,00:49:31
143,2023-09-17,04:51:51
144,2023-09-10,05:15:32
145,2023-12-01,02:48:36
146,2023-07-22,04:09:00
147,2023-08-27,04:20:49
148,2023-06-04,02:28:26
149,2023-02-12,17:35:24
150,2023-08-20,23:57:45
151,2023-08-05,14:39:25
152,2023-05-10,07:22:23
153,2023-10-14,04:40:48
154,2023-07-27,02:25:19
155,2023-02-06,16:14:36
156,2023-01-13,19:57:58
157,2023-08-12,08:45:00
158,2023-03-17,13:39:42
159,2023-12-28,15:34:13
160,2023-04-15,21:54:00
161,2023-05-31,20:35:53
162,2023-05-21,00:00:25
163,2023-05-27,07:27:51
164,2023-07-10,09:17:35
165,2023-10-24,19:26:48
166,2023-04-30,12:15:20
167,2023-03-24,07:47:31
168,2023-08-06,12:51:41
