order_details_id,order_id,pizza_id,quantity
1,1,pizza_hawaiian_l,3
2,1,pizza_spinach_feta_s,2
3,1,pizza_meat_lovers_m,2
4,1,pizza_supreme_xl,1
5,1,pizza_hawaiian_xl,1
6,2,pizza_margherita_s,1
7,2,pizza_spinach_feta_m,2
8,2,pizza_spinach_feta_xl,2
9,2,pizza_bbq_chicken_s,2
10,3,pizza_veggie_l,1
11,3,pizza_bbq_chicken_l,3
12,3,pizza_bbq_chicken_l,2
13,3,pizza_mushroom_xl,2
14,3,pizza_supreme_s,1
15,4,pizza_buffalo_chicken_m,3
16,4,pizza_supreme_s,3
17,4,pizza_mushroom_xl,3
18,5,pizza_margherita_xl,3
19,5,pizza_meat_lovers_s,2
20,5,pizza_meat_lovers_l,3
21,6,pizza_margherita_s,3
22,6,pizza_spinach_feta_m,2
23,6,pizza_spinach_feta_l,2
24,7,pizza_veggie_m,3
25,7,pizza_hawaiian_xl,3
26,7,pizza_spinach_feta_m,3
27,8,pizza_margherita_l,1
28,8,pizza_bbq_chicken_m,2
29,9,pizza_veggie_m,1
30,9,pizza_mushroom_l,3
31,9,pizza_margherita_s,3
32,10,pizza_buffalo_chicken_m,3
33,10,pizza_margherita_xl,3
34,10,pizza_pepperoni_m,3
35,10,pizza_bbq_chicken_xl,1
36,11,pizza_bbq_chicken_m,3
37,11,pizza_pepperoni_m,2
38,11,pizza_margherita_m,1
39,11,pizza_veggie_s,2
40,11,pizza_hawaiian_m,3
41,12,pizza_meat_lovers_l,1
42,12,pizza_hawaiian_s,1
43,12,pizza_buffalo_chicken_s,3
44,12,pizza_supreme_s,1
45,13,pizza_buffalo_chicken_l,3
46,13,pizza_bbq_chicken_l,1
47,13,pizza_bbq_chicken_xl,3
48,13,pizza_margherita_l,3
49,14,pizza_mushroom_s,1
50,14,pizza_bbq_chicken_xl,2
51,14,pizza_buffalo_chicken_xl,3
52,15,pizza_mushroom_s,1
53,15,pizza_buffalo_chicken_l,2
54,16,pizza_meat_lovers_l,1
55,16,pizza_buffalo_chicken_m,2
56,16,pizza_mushroom_xl,1
57,16,pizza_buffalo_chicken_m,2
58,17,pizza_veggie_xl,1
59,17,pizza_buffalo_chicken_s,3
60,18,pizza_spinach_feta_m,2
61,18,pizza_meat_lovers_l,2
62,18,pizza_meat_lovers_xl,1
63,18,pizza_hawaiian_xl,2
64,19,pizza_mushroom_m,2
65,19,pizza_buffalo_chicken_s,2
66,20,pizza_pepperoni_l,1
67,20,pizza_mushroom_s,3
68,20,pizza_margherita_s,3
69,20,pizza_mushroom_s,2
70,20,pizza_bbq_chicken_m,2
71,21,pizza_veggie_m,3
72,22,pizza_bbq_chicken_l,3
73,22,pizza_margherita_xl,1
74,23,pizza_mushroom_xl,2
75,23,pizza_margherita_m,1
76,24,pizza_spinach_feta_xl,3
77,24,pizza_bbq_chicken_xl,1
78,25,pizza_bbq_chicken_s,2
79,25,pizza_pepperoni_s,1
80,25,pizza_hawaiian_s,3
81,26,pizza_margherita_s,2
82,26,pizza_meat_lovers_s,3
83,26,pizza_pepperoni_xl,2
84,26,pizza_buffalo_chicken_s,3
85,27,pizza_pepperoni_xl,3
86,27,pizza_bbq_chicken_s,2
87,27,pizza_buffalo_chicken_l,1
88,28,pizza_margherita_l,1
89,28,pizza_meat_lovers_xl,3
90,28,pizza_pepperoni_m,2
91,29,pizza_spinach_feta_xl,1
92,30,pizza_veggie_xl,1
93,30,pizza_margherita_xl,3
94,30,pizza_buffalo_chicken_xl,1
95,31,pizza_bbq_chicken_l,2
96,31,pizza_spinach_feta_m,1
97,32,pizza_hawaiian_s,2
98,32,pizza_buffalo_chicken_l,3
99,32,pizza_spinach_feta_xl,3
100,32,pizza_pepperoni_s,1
101,32,pizza_bbq_chicken_xl,1
102,33,pizza_buffalo_chicken_xl,2
103,33,pizza_bbq_chicken_s,3
104,33,pizza_hawaiian_m,1
105,33,pizza_buffalo_chicken_s,1
106,34,pizza_meat_lovers_s,3
107,34,pizza_pepperoni_xl,1
108,34,pizza_spinach_feta_xl,2
109,34,pizza_veggie_l,3
110,35,pizza_mushroom_s,1
111,35,pizza_meat_lovers_xl,1
112,35,pizza_margherita_s,2
113,35,pizza_bbq_chicken_s,2
114,36,pizza_hawaiian_l,1
115,37,pizza_margherita_l,3
116,37,pizza_pepperoni_s,3
117,37,pizza_mushroom_xl,2
118,37,pizza_meat_lovers_l,2
119,37,pizza_supreme_l,1
120,38,pizza_meat_lovers_m,1
121,38,pizza_margherita_m,3
122,39,pizza_spinach_feta_l,2
123,40,pizza_buffalo_chicken_l,1
124,40,pizza_hawaiian_s,3
125,40,pizza_bbq_chicken_l,3
126,41,pizza_pepperoni_xl,2
127,42,pizza_hawaiian_s,2
128,42,pizza_meat_lovers_l,2
129,42,pizza_bbq_chicken_s,3
130,42,pizza_spinach_feta_l,2
131,43,pizza_pepperoni_s,3
132,44,pizza_mushroom_m,1
133,44,pizza_spinach_feta_xl,2
134,44,pizza_margherita_xl,2
135,45,pizza_hawaiian_s,2
136,45,pizza_spinach_feta_m,2
137,45,pizza_veggie_xl,1
138,45,pizza_bbq_chicken_xl,2
139,45,pizza_hawaiian_s,3
140,46,pizza_buffalo_chicken_s,3
141,46,pizza_margherita_l,2
142,46,pizza_veggie_m,2
143,47,pizza_buffalo_chicken_m,2
144,48,pizza_supreme_xl,3
145,48,pizza_veggie_l,2
146,48,pizza_meat_lovers_s,3
147,48,pizza_margherita_m,2
148,49,pizza_pepperoni_m,2
149,50,pizza_veggie_xl,2
150,51,pizza_meat_lovers_xl,3
151,51,pizza_margherita_m,3
152,52,pizza_mushroom_l,2
153,52,pizza_margherita_l,2
154,53,pizza_buffalo_chicken_m,1
155,53,pizza_supreme_s,2
156,54,pizza_spinach_feta_xl,1
157,54,pizza_spinach_feta_l,1
158,54,pizza_meat_lovers_s,3
